222746,4609.8140,N,07528.9570,W,236,31.8,23.0
222746,4609.8140,N,07528.9570,W,236,31.8,23.0
222746,4609.8140,N,07528.9570,W,236,31.8,23.0
222746,4609.8140,N,07528.9570,W,236,31.8,23.0
222746,4609.8140,N,07528.9570,W,236,31.8,23.0
222748,4609.8130,N,07528.9560,W,236,31.8,23.0
222748,4609.8130,N,07528.9560,W,236,31.8,23.0
222748,4609.8130,N,07528.9560,W,236,31.8,23.0
222748,4609.8130,N,07528.9560,W,236,31.8,23.0
222748,4609.8130,N,07528.9560,W,236,31.8,23.0
222748,4609.8130,N,07528.9560,W,236,31.8,23.0
222748,4609.8130,N,07528.9560,W,236,31.8,23.0
222748,4609.8130,N,07528.9560,W,236,31.8,23.1
222748,4609.8130,N,07528.9560,W,236,31.8,23.1
222748,4609.8130,N,07528.9560,W,236,31.9,23.1
222748,4609.8130,N,07528.9560,W,236,31.9,23.1
222748,4609.8130,N,07528.9560,W,236,31.9,23.1
222748,4609.8130,N,07528.9560,W,236,31.9,23.1
222748,4609.8130,N,07528.9560,W,236,31.9,23.1
222750,4609.8120,N,07528.9550,W,236,31.9,23.1
222750,4609.8120,N,07528.9550,W,236,31.9,23.1
222750,4609.8120,N,07528.9550,W,236,31.9,23.1
222750,4609.8120,N,07528.9550,W,236,31.9,23.1
222750,4609.8120,N,07528.9550,W,236,31.9,23.1
222750,4609.8120,N,07528.9550,W,236,31.9,23.1
222750,4609.8120,N,07528.9550,W,236,31.9,23.1
222750,4609.8120,N,07528.9550,W,236,31.9,23.1
222750,4609.8120,N,07528.9550,W,236,31.9,23.1
222750,4609.8120,N,07528.9550,W,236,31.9,23.1
222750,4609.8120,N,07528.9550,W,236,31.9,23.1
222750,4609.8120,N,07528.9550,W,236,31.9,23.1
222750,4609.8120,N,07528.9550,W,236,31.9,23.1
222750,4609.8120,N,07528.9550,W,236,31.9,23.1
222750,4609.8120,N,07528.9550,W,236,31.9,23.1
222750,4609.8120,N,07528.9550,W,236,31.9,23.1
222750,4609.8120,N,07528.9550,W,236,31.9,23.1
222750,4609.8120,N,07528.9550,W,236,31.9,23.1
222750,4609.8120,N,07528.9550,W,236,31.9,23.1
222750,4609.8120,N,07528.9550,W,236,31.9,23.1
222750,4609.8120,N,07528.9550,W,236,31.9,23.1
222750,4609.8120,N,07528.9550,W,236,31.9,23.1
222750,4609.8120,N,07528.9550,W,236,31.9,23.1
222750,4609.8120,N,07528.9550,W,236,31.9,23.1
222750,4609.8120,N,07528.9550,W,236,31.9,23.1
222750,4609.8120,N,07528.9550,W,236,31.9,23.1
222754,4609.8110,N,07528.9530,W,236,31.9,23.1
222754,4609.8110,N,07528.9530,W,236,31.9,23.1
222754,4609.8110,N,07528.9530,W,236,31.9,23.1
222754,4609.8110,N,07528.9530,W,236,31.9,23.1
222754,4609.8110,N,07528.9530,W,236,31.9,23.1
222754,4609.8110,N,07528.9530,W,236,31.9,23.1
222754,4609.8110,N,07528.9530,W,236,31.9,23.1
222754,4609.8110,N,07528.9530,W,236,31.9,23.1
222754,4609.8110,N,07528.9530,W,236,31.9,23.1
222754,4609.8110,N,07528.9530,W,236,31.9,23.1
222754,4609.8110,N,07528.9530,W,236,31.9,23.1
222754,4609.8110,N,07528.9530,W,236,31.9,23.1
222754,4609.8110,N,07528.9530,W,236,31.9,23.1
222754,4609.8110,N,07528.9530,W,236,31.9,23.1
222756,4609.8100,N,07528.9520,W,236,31.9,23.1
222756,4609.8100,N,07528.9520,W,236,31.9,23.1
222756,4609.8100,N,07528.9520,W,236,31.9,23.1
222756,4609.8100,N,07528.9520,W,236,31.9,23.1
222756,4609.8100,N,07528.9520,W,236,31.9,23.1
222756,4609.8100,N,07528.9520,W,236,31.9,23.1
222756,4609.8100,N,07528.9520,W,236,31.9,23.1
222756,4609.8100,N,07528.9520,W,236,31.9,23.1
222756,4609.8100,N,07528.9520,W,236,31.9,23.1
222756,4609.8100,N,07528.9520,W,236,32.0,23.1
222756,4609.8100,N,07528.9520,W,236,32.0,23.1
222756,4609.8100,N,07528.9520,W,236,32.0,23.1
222756,4609.8100,N,07528.9520,W,236,32.0,23.1
222756,4609.8100,N,07528.9520,W,236,32.0,23.1
222758,4609.8100,N,07528.9510,W,236,32.0,23.1
222758,4609.8100,N,07528.9510,W,236,32.0,23.1
222758,4609.8100,N,07528.9510,W,236,32.0,23.1
222758,4609.8100,N,07528.9510,W,236,32.0,23.1
222758,4609.8100,N,07528.9510,W,236,32.0,23.1
222758,4609.8100,N,07528.9510,W,236,32.0,23.1
222758,4609.8100,N,07528.9510,W,236,32.0,23.1
222758,4609.8100,N,07528.9510,W,236,32.0,23.1
222758,4609.8100,N,07528.9510,W,236,32.0,23.1
222758,4609.8100,N,07528.9510,W,236,32.0,23.1
222758,4609.8100,N,07528.9510,W,236,32.0,23.1
222758,4609.8100,N,07528.9510,W,236,32.0,23.1
222758,4609.8100,N,07528.9510,W,236,32.0,23.1
222758,4609.8100,N,07528.9510,W,236,32.0,23.1
222800,4609.8090,N,07528.9490,W,236,32.0,23.1
222800,4609.8090,N,07528.9490,W,236,32.0,23.1
222800,4609.8090,N,07528.9490,W,236,32.0,23.1
222800,4609.8090,N,07528.9490,W,236,32.0,23.1
222800,4609.8090,N,07528.9490,W,236,32.0,23.1
222800,4609.8090,N,07528.9490,W,236,32.0,23.1
222800,4609.8090,N,07528.9490,W,236,32.0,23.1
222800,4609.8090,N,07528.9490,W,236,32.0,23.1
222800,4609.8090,N,07528.9490,W,236,32.0,23.1
